Completed: 495/500 = 99.00%
Total: 326/500 = 65.20%
Missing predictions: 0
Unparsable predictions: 5
Causation Reasoning: 22/23 = 95.65%
Change Detection: 39/63 = 61.90%
Consequence Reasoning: 11/13 = 84.62%
General Understanding: 21/22 = 95.45%
Geometric Relation: 39/50 = 78.00%
Hypothetical Reasoning: 17/20 = 85.00%
Object and Land Cover Recognition: 59/82 = 71.95%
Perspective and Viewpoint: 39/60 = 65.00%
Structural Layout: 29/42 = 69.05%
Temporal Grounding: 27/80 = 33.75%
Trend and Pattern: 23/45 = 51.11%
